BFS Gde-nummer,Kanton,Gemeindename,Name_clean,Wohnpreis (aktuell)    ,Wohnpreis (vgl. Region),Wohnpreis (Entwicklung),Baulandpreis (aktuell) ,Baulandpreis (Entw.)   ,Bevölkerung (Prognose) ,Alterung (Prognose)    ,Beschäftigte (Prognose),Erreichbarkeit ÖV      ,Erreichbarkeit MIV     ,Steuern_DINKs          ,Gemeinde,Innenentwicklungspotenzial
4551,TG,Aadorf,Aadorf,225,0.9911894273127754,1.1479591836734695,450,0.9782608695652174,105.86876640419948,1.1707396699723425,1.055441478439425,1048773,2720148,0.15633611111111112,Aadorf,0.14
4711,TG,Affeltrangen,Affeltrangen,210,0.9417040358744395,1.05,170,1.0,119.55617198335645,1.2550129240002756,0.9255485893416927,428029,2155616,0.153503125,Affeltrangen,0.0
4641,TG,Altnau,Altnau,224,0.9451476793248945,1.0717703349282297,330,0.7333333333333333,100.0,1.180501389588187,0.9407821229050279,118982,1505687,0.14971666666666666,Altnau,0.14
3251,SG,Altstätten,Altstatten,195,0.9198113207547169,1.0483870967741935,310,0.5740740740740741,137.69970590573087,1.0731734612283228,1.0569171235085457,297700,792229,0.15780729166666668,Altstätten,0.54
3311,SG,Amden,Amden,226,0.9617021276595744,1.1243781094527363,210,0.9545454545454546,93.89794844818516,1.080499219098617,0.7675070028011205,127277,1883785,0.15433402777777777,Amden,0.0
4881,TG,Amlikon-Bissegg,Amlikon_Bissegg,208,0.9162995594713657,1.0612244897959184,170,0.85,112.07865168539325,1.176250382905008,0.9234135667396062,265521,2273685,0.158228125,Amlikon-Bissegg,0.0
4461,TG,Amriswil,Amriswil,218,1.0186915887850467,1.1122448979591837,460,1.1219512195121952,132.08788228114193,1.0941545397983987,0.9807327858496526,317140,995295,0.15680972222222223,Amriswil,0.27
3441,SG,Andwil (SG),Andwil_SG,214,0.9727272727272728,1.064676616915423,230,0.6571428571428571,109.98134328358209,1.169757728140389,0.6210762331838565,246988,1980437,0.15780729166666668,Andwil (SG),0.0
4401,TG,Arbon,Arbon,211,0.985981308411215,1.0603015075376885,530,0.8548387096774194,112.32123899331793,1.0758082788061791,1.0292573143285821,310219,955439,0.16673645833333334,Arbon,0.59
3291,SG,Bad Ragaz,Bad_Ragaz,245,1.0425531914893618,1.0515021459227467,570,0.9047619047619048,116.5162980209546,1.2791667343546094,1.0348027842227379,226041,884111,0.14564340277777776,Bad Ragaz,0.22
3232,SG,Balgach,Balgach,222,1.0471698113207548,1.0471698113207548,570,0.7037037037037037,139.75047984644914,1.1096663393069794,0.9761503252228378,243641,838701,0.12768715277777778,Balgach,0.3
4536,TG,Basadingen-Schlattingen,Basadingen_Schlattingen,211,0.890295358649789,1.0932642487046633,110,0.7857142857142857,93.45509893455099,1.1821862348178138,0.8697421981004071,160507,2133070,0.15066493055555555,Basadingen-Schlattingen,0.0
3312,SG,Benken (SG),Benken_SG,216,0.782608695652174,1.0909090909090908,300,0.8108108108108109,103.35177351122681,1.238047724299698,0.8348082595870207,193038,2663961,0.1601284722222222,Benken (SG),0.0
3211,SG,Berg (SG),Berg_SG,227,1.0318181818181817,1.0758293838862558,220,1.2222222222222223,109.0029041626331,1.168880748381475,0.6736842105263158,273731,1054241,0.1636013888888889,Berg (SG),0.0
4891,TG,Berg (TG),Berg_TG,222,0.9779735682819384,1.1044776119402986,360,0.7659574468085106,127.15469613259668,1.1351470266899522,0.9390096618357487,132954,1804281,0.14782777777777778,Berg (TG),0.0
4801,TG,Berlingen,Berlingen,240,1.0126582278481013,1.0480349344978166,500,1.0638297872340425,93.70409233997901,0.9642344065542549,0.7911764705882354,174722,1645374,0.14404548611111112,Berlingen,0.06
3233,SG,Berneck,Berneck,204,0.9622641509433962,1.0251256281407035,350,0.660377358490566,109.3063872255489,1.1057462185164846,1.0068897637795275,256570,1017981,0.14564340277777776,Berneck,0.09
4716,TG,Bettwiesen,Bettwiesen,213,0.9551569506726457,1.0597014925373134,260,0.9285714285714286,119.26536731634182,1.2199057048685187,1.169753086419753,396233,2373379,0.14688368055555556,Bettwiesen,0.32
4721,TG,Bichelsee-Balterswil,Bichelsee_Balterswil,203,0.9103139013452914,1.0572916666666667,220,0.7857142857142857,101.17955439056357,1.287776973990768,0.9036796536796537,422630,2454190,0.1539736111111111,Bichelsee-Balterswil,0.0
4901,TG,Birwinken,Birwinken,212,0.933920704845815,1.1041666666666667,110,1.0,114.13276231263383,1.1342023936736378,0.8838383838383839,96820,1728591,0.15491527777777778,Birwinken,0.0
4471,TG,Bischofszell,Bischofszell,216,1.0093457943925233,1.0485436893203883,300,1.5,103.81522938672552,1.211343864809629,1.0417152858809802,377418,1801814,0.1577545138888889,Bischofszell,0.17
4643,TG,Bottighofen,Bottighofen,271,1.1434599156118144,1.0753968253968254,960,1.3150684931506849,126.89450222882616,0.9019517740566105,0.9882978723404255,263832,1711817,0.1265541666666667,Bottighofen,0.49
4723,TG,Braunau,Braunau,208,0.9327354260089686,1.0558375634517767,120,1.2,114.02298850574712,1.3693986715520112,0.8779661016949153,287291,2232552,0.1525527777777778,Braunau,0.0
3271,SG,Buchs (SG),Buchs_SG,230,1.0222222222222221,1.1004784688995215,800,0.9302325581395349,139.086764496367,1.091910712750083,1.0875343721356554,285132,821655,0.16070277777777778,Buchs (SG),0.46
