BFS Gde-nummer,Kanton,Gemeindename,Name_clean,Wohnpreis (aktuell)    ,Wohnpreis (vgl. Region),Wohnpreis (Entwicklung),Baulandpreis (aktuell) ,Baulandpreis (Entw.)   ,Bevölkerung (Prognose) ,Alterung (Prognose)    ,Beschäftigte (Prognose),Erreichbarkeit ÖV      ,Erreichbarkeit MIV     ,Steuern_DINKs          ,Gemeinde,Innenentwicklungspotenzial
1051,LU,Adligenswil,Adligenswil,289,0.9796610169491525,1.2565217391304349,930,1.0941176470588236,91.04504183727968,1.0907159556749781,0.9413680781758957,381191,2501575,0.15475763888888888,Adligenswil,0.1
1021,LU,Aesch (LU),Aesch_LU,241,0.9836734693877551,1.1314553990610328,400,1.1111111111111112,128.2863041982106,1.1550999810414735,0.7887323943661971,122940,2821500,0.14957152777777777,Aesch (LU),0.0
1121,LU,Alberswil,Alberswil,206,0.944954128440367,1.1444444444444444,130,0.65,126.39455782312925,1.286073164939821,1.0751173708920188,445274,3018887,0.15821979166666666,Alberswil,0.0
1122,LU,Altbüron,Altburon,188,0.8623853211009175,1.0162162162162163,100,0.7692307692307693,111.6370808678501,1.1428462882759667,0.8826291079812207,161275,2946729,0.17032465277777778,Altbüron,0.0
1123,LU,Altishofen,Altishofen,206,0.944954128440367,1.0564102564102564,260,0.8125,107.63247447739427,1.4087140451399982,1.1080755323423062,364000,3815220,0.14611388888888888,Altishofen,0.09
1701,ZG,Baar,Baar,432,0.9370932754880694,1.148936170212766,4370,1.5719424460431655,108.6906095024796,1.1306349657591286,1.3436586116669234,1040683,3285311,0.08639374999999999,Baar,1.81
1023,LU,Ballwil,Ballwil,243,0.9918367346938776,1.0704845814977975,560,1.1914893617021276,96.37323943661971,1.227614842380924,0.7897897897897898,462800,3000920,0.13919201388888888,Ballwil,0.08
1081,LU,Beromünster,Beromunster,221,0.9020408163265307,1.0574162679425838,420,1.135135135135135,110.04392386530014,1.2497017830841872,0.9245372567631703,286849,2885428,0.151303125,Beromünster,0.04
1052,LU,Buchrain,Buchrain,261,0.8847457627118644,1.125,1260,1.2727272727272727,122.77067724401351,1.1153583939505436,1.0752351097178683,455000,3099742,0.15475763888888888,Buchrain,0.93
1083,LU,Buttisholz,Buttisholz,225,1.0321100917431192,1.066350710900474,360,0.9,95.5249569707401,1.2993874773495044,0.9096816114359975,388006,2754160,0.15303368055555555,Buttisholz,0.0
1082,LU,Büron,Buron,226,0.9224489795918367,1.0813397129186604,430,0.9772727272727273,123.51878612716763,1.1375652035763772,0.9188118811881189,282191,3291467,0.15648923611111112,Büron,0.17
1702,ZG,Cham,Cham,448,0.9718004338394793,1.1851851851851851,4410,1.7093023255813953,130.48760466261697,1.0580941654262164,1.3059067919075145,1155832,3327588,0.08851006944444445,Cham,1.29
1125,LU,Dagmersellen,Dagmersellen,224,1.0275229357798166,1.0666666666666667,560,1.3658536585365855,124.75016655562958,1.2779890265801117,1.0115263709395739,495827,3861882,0.14783993055555555,Dagmersellen,0.08
1053,LU,Dierikon,Dierikon,244,0.8271186440677966,1.1244239631336406,1040,1.0833333333333333,124.92581602373888,1.2633799190136221,1.1472868217054264,467439,3209132,0.151303125,Dierikon,1.15
1001,LU,Doppleschwand,Doppleschwand,214,1.0808080808080809,1.0490196078431373,120,1.0909090909090908,95.3883495145631,1.3397991784573253,0.7037037037037037,144909,1027556,0.1668690972222222,Doppleschwand,0.0
1054,LU,Ebikon,Ebikon,246,0.8338983050847457,1.074235807860262,1280,1.1228070175438596,145.30024344062753,1.0583723139077041,1.0933756166314308,542620,3014922,0.15821979166666666,Ebikon,1.7
1127,LU,Egolzwil,Egolzwil,203,0.9311926605504587,1.015,200,1.0526315789473684,117.24759615384616,1.1890567578603513,0.8275862068965517,386072,3294879,0.15821979166666666,Egolzwil,0.03
1084,LU,Eich,Eich,298,1.2163265306122448,1.0347222222222223,1120,1.302325581395349,79.94285714285714,1.26086843380705,0.7915690866510537,328047,3142343,0.12535625,Eich,0.0
1024,LU,Emmen,Emmen,252,0.8542372881355932,1.1004366812227073,1330,1.2666666666666666,118.6455746650725,1.174367597394043,1.1862131329994434,634595,3162467,0.1616767361111111,Emmen,1.72
1002,LU,Entlebuch,Entlebuch,193,0.9747474747474747,1.032085561497326,100,1.0,103.21449444769141,1.212896131335941,0.832572298325723,167188,1055824,0.15995138888888888,Entlebuch,0.02
1025,LU,Ermensee,Ermensee,238,0.9714285714285714,1.1121495327102804,340,1.2592592592592593,136.87739463601534,1.1052004763795158,1.0031645569620253,162653,2524884,0.15475763888888888,Ermensee,0.0
